*** Variables ***
# Generic variables
${SCHEMA}                               http
${HOST}                                 127.0.0.1
${PORT}                                 8084
${response}                             {}
${TOKEN}                                YWxhZGRpbjpvcGVuc2VzYW1l
${apiRoot}        
${apiName}                              fed-enablement
${apiVersion}                           v1

${REGISTER_ACTION}        REGISTER
${REMOVE_ACTION}          REMOVE 
${NO_ACTION}              NO_ACTION


${SYSTEM_ID_PLACEHOLDER}        		SYSTEM_ID_PLACEHOLDER

${EXPECTED_SYSTEM_ID}                   SYSTEM_ID
${NOT_EXISTING_SYSTEM_ID}               NOT_EXISTING_SYS_ID
${EXPECTED_SYSTEM_ID2}                  SYSTEM_ID2
${SYSTEM_ID_QUERY_PARAM}                systemId=${EXPECTED_SYSTEM_ID} 
${NOT_EXT_SYSTEM_ID_QUERY_PARAM}        systemId=${NOT_EXISTING_SYSTEM_ID} 
${MULTIPLE_SYSTEM_ID_QUERY_PARAM}       systemId=${EXPECTED_SYSTEM_ID},${EXPECTED_SYSTEM_ID2}
${EMPTY_SYSTEM_ID_QUERY_PARAM}          systemId=

${EXPECTED_SYSTEM_NAME}                 SYSTEM_NAME
${EXPECTED_SYSTEM_NAME2}                SYSTEM_NAME2
${NOT_EXISTING_SYS_NAME}                NOT_EXISTING_SYS_NAME
${SYSTEM_NAME_QUERY_PARAM}              systemName=${EXPECTED_SYSTEM_NAME}
${NOT_EXT_SYSTEM_NAME_QUERY_PARAM}      systemName=${NOT_EXISTING_SYS_NAME}
${MUTIPLE_SYSTEM_NAME_QUERY_PARAM}      systemName=${EXPECTED_SYSTEM_NAME},${EXPECTED_SYSTEM_NAME2}    
${EMPTY_SYSTEM_NAME_QUERY_PARAM}        systemName=

${EXPECTED_SYSTEM_PROVIDER}             SYSTEM_PROVIDER
${EXPECTED_SYSTEM_PROVIDER2}            SYSTEM_PROVIDER2
${NOT_EXT_SYS_PROVIDER}                 NOT_EXISTING_SYS_PROVIDER
${SYSTEM_PROVIDER_QUERY_PARAM}          systemProvider=${EXPECTED_SYSTEM_PROVIDER}
${NOT_EXT_SYS_PROVIDER_QUERY_PARAM}     systemProvider=${NOT_EXT_SYS_PROVIDER}
${MUTIPLE_SYS_PROVIDER_QUERY_PAR}       systemProvider=${EXPECTED_SYSTEM_PROVIDER},${EXPECTED_SYSTEM_PROVIDER2}    
${EMPTY_SYSTEM_PROVIDER_QUERY_PARAM}        systemProvider=


${FILTER_ON_SYSTEM_ID_AND_NAME}       systemId=${EXPECTED_SYSTEM_ID},systemName=${EXPECTED_SYSTEM_NAME}
${EXPECTED_NEW_SYSTEM_PROVIDER}       SYSTEM_NEW_ENDPOINT_1
${EXPECTED_NEW_SYSTEM_NAME}           SYSTEM_NEW_NAME_1
